"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"5938",-16.4466,-73.5776,39,"mb",4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5939",-22.4025,-68.3622,108.7,"MW",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5940",-22.5989,-68.4695,116.7,"mb",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5941",-22.8597,-66.5967,217.5,"mb",4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5942",-32.3606,-71.5611,19.5,"mb",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5943",-21.0036,-68.6633,112.4,"mb",4.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5944",-27.446,-67.2906,142,"mb",4.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5945",-28.011,-70.6944,55.4,"mb",4.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5946",-20.458,-68.8702,113.1,"mb",4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5947",-20.6525,-68.9179,109.4,"mb",4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5948",-31.8254,-68.2958,120.1,"MW",5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5949",-37.9342,-73.5657,22,"mb",4.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5950",-23.935,-67.695,227.3,"ML",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5951",-35.8707,-73.5102,1.2,"MW",4.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5952",-32.6307,-68.8012,137.5,"mb",4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5953",-16.9449,-69.4618,180.7,"mb",4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5954",-25.8374,-66.7772,35,"mb",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5955",-34.6964,-72.8281,25.1,"mb",4.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5956",-34.6947,-72.8175,29.5,"mb",4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5957",-32.8517,-66.7877,35,"mb",4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5958",-18.498,-70.7433,42.7,"mb",4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5959",-16.7057,-69.2299,200,"mb",4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5960",-31.7928,-69.2621,17.3,"mb",4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5961",-35.142,-72.6988,5.6,"MW",4.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5962",-23.9803,-70.9126,18.5,"MW",4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5963",-32.2673,-70.205,98.4,"MW",4.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5964",-31.577,-69.601,106.1,"MW",4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5965",-34.1774,-72.2546,11.1,"mb",4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5966",-23.7099,-64.1569,1.4,"MW",4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5967",-32.9495,-70.0013,113.1,"mb",4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5968",-19.6785,-69.1886,107.6,"MW",5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5969",-28.4173,-67.6727,125.4,"mb",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5970",-22.0135,-68.725,118.8,"mb",4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5971",-17.4093,-70.9836,56,"mb",4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5972",-31.9464,-69.6143,104.1,"MW",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
