"","Depth","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"240",90.9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",125.3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",116.4,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",106.8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",230.6,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",186,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",234.9,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",169.2,4.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",38.5,4.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"249",122.8,4.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"250",227.5,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",90.2,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"252",108.5,4.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"253",213,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",246.3,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",191.6,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",10,4.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"257",107.5,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",132.3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",5.5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"260",2.1,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"261",33,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"262",10,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"263",35,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"264",94.7,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",158.8,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266",127.5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",10.9,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"268",171.9,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",101.2,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",43.2,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"271",55.6,4.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"272",10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"273",5.2,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"274",8.8,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"275",259.5,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",200,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",5.2,4.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"278",99.6,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",28.6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"280",151,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281",0,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"282",213.2,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"283",195.6,4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"284",126.2,5.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",6.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"286",9.7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"287",180.5,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",129.1,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",85.4,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",233.4,4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",18,4.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"292",42.2,4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"293",137.8,4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",101.4,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"295",55.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"296",43.8,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"297",102.3,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298",9.5,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"299",103,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",14,4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
