Magnitud,Profundidad,Region
5.5,88.16,13
5.3,41.07,3
5.6,41,15
5,116.53,3
5.8,9,4
5.2,10,1
5,10,11
5.1,6.23,4
5.1,10,11
5.1,100.57,5
5.1,62.04,1
5.2,222.22,2
5.9,17,4
5.3,92.59,15
5,117.99,4
5,232.1,1
5.2,126.96,2
5.5,110.18,2
6.3,82.43,15
5.5,165.65,4
5,21.64,7
5,96.61,1
5,110.9,1
5.5,10,1
5.5,46.73,2
5.2,103.33,1
